meter,Date,t_kWh
MH01,30-07-2019,7.829
MH01,31-07-2019,7.751
MH01,01-08-2019,7.507
MH01,02-08-2019,8.143
MH01,03-08-2019,7.462
MH01,04-08-2019,6.913
MH01,05-08-2019,8.571
MH01,06-08-2019,7.541
MH01,07-08-2019,6.063
MH01,08-08-2019,6.619
MH01,09-08-2019,7.434
MH01,10-08-2019,5.775
MH01,11-08-2019,8.406
MH01,12-08-2019,6.894
MH01,13-08-2019,9.854
MH01,14-08-2019,7.879
MH01,15-08-2019,8.802
MH01,16-08-2019,5.474
MH01,17-08-2019,5.421
MH01,18-08-2019,4.742
MH01,20-08-2019,7.3
MH01,22-08-2019,7.101
MH01,24-08-2019,8.294
MH01,25-08-2019,5.821
MH01,26-08-2019,5.852
MH01,28-08-2019,8.777
MH01,29-08-2019,8.17
MH01,30-08-2019,7.481
MH01,31-08-2019,9.421
MH01,01-09-2019,9.933
MH01,02-09-2019,9.21
MH01,03-09-2019,9.526
MH01,04-09-2019,9.669
MH01,05-09-2019,9.366
MH01,07-09-2019,8.439
MH01,08-09-2019,8.339
MH01,09-09-2019,8.381
MH01,10-09-2019,11.026
MH01,11-09-2019,11.372
MH01,12-09-2019,10.046
MH01,13-09-2019,8.774
MH01,14-09-2019,7.585
MH01,15-09-2019,8.327
MH01,16-09-2019,7.338
MH01,17-09-2019,9.731
MH01,18-09-2019,8.898
MH01,19-09-2019,7.181
MH01,20-09-2019,8.071
MH01,22-09-2019,7.315
MH01,23-09-2019,5.839
MH01,24-09-2019,5.011
MH01,25-09-2019,5.924
MH01,26-09-2019,5.045
MH01,27-09-2019,5.398
MH01,28-09-2019,5.452
MH01,29-09-2019,5.166
MH01,01-10-2019,4.371
MH01,02-10-2019,5.073
MH01,05-10-2019,4.517
MH01,06-10-2019,4.564
MH01,07-10-2019,4.69
MH01,08-10-2019,4.465
MH01,09-10-2019,4.48
MH01,10-10-2019,4.516
MH01,11-10-2019,3.954
MH01,12-10-2019,3.963
MH01,13-10-2019,4.8
MH01,14-10-2019,4.313
MH01,16-10-2019,4.641
MH01,17-10-2019,4
MH01,25-10-2019,2.745
MH01,26-10-2019,3.576
MH01,27-10-2019,4.1
MH01,28-10-2019,3.518
MH01,29-10-2019,3.789
MH01,31-10-2019,2.571
MH01,01-11-2019,2.877
MH01,02-11-2019,3.584
MH01,03-11-2019,3.953
MH01,04-11-2019,3.558
MH01,05-11-2019,2.933
MH01,06-11-2019,2.811
MH01,07-11-2019,3.094
MH01,08-11-2019,3.186
MH01,09-11-2019,2.654
MH01,10-11-2019,3.31
MH01,11-11-2019,2.96
MH01,12-11-2019,3.055
MH01,13-11-2019,3.345
MH01,14-11-2019,3.351
MH01,15-11-2019,2.751
MH01,16-11-2019,2.802
MH01,17-11-2019,2.719
MH01,18-11-2019,2.914
MH01,19-11-2019,2.554
MH01,20-11-2019,2.822
MH01,21-11-2019,2.53
MH01,23-11-2019,2.821
MH01,24-11-2019,2.747
MH01,25-11-2019,2.228
MH01,26-11-2019,3.534
MH01,27-11-2019,2.271
MH01,28-11-2019,2.85
MH01,29-11-2019,2.793
MH01,30-11-2019,1.899
MH01,01-12-2019,2.232
MH01,02-12-2019,2.36
MH01,03-12-2019,2.041
MH01,04-12-2019,2.13
MH01,06-12-2019,2.256
MH01,07-12-2019,1.757
MH01,08-12-2019,2.99
MH01,09-12-2019,2.29
MH01,10-12-2019,1.735
MH01,11-12-2019,2.365
MH01,12-12-2019,2.668
MH01,15-12-2019,2.696
MH01,16-12-2019,2.453
MH01,17-12-2019,2.062
MH01,18-12-2019,2.494
MH01,19-12-2019,2.556
MH01,24-12-2019,2.018
MH01,25-12-2019,2.909
MH01,26-12-2019,3.338
MH01,28-12-2019,2.376
MH01,29-12-2019,3.258
MH01,06-01-2020,2.301
MH01,07-01-2020,1.938
MH01,09-01-2020,2.808
MH01,10-01-2020,1.721
MH01,11-01-2020,1.862
MH01,13-01-2020,1.659
MH01,15-01-2020,2.098
MH01,18-01-2020,2.932
MH01,19-01-2020,2.849
MH01,20-01-2020,4.19
MH01,21-01-2020,2.222
MH01,22-01-2020,2.545
MH01,23-01-2020,1.216
MH01,24-01-2020,1.492
MH01,26-01-2020,1.299
MH01,30-01-2020,1.779
MH01,03-02-2020,1.434
MH01,04-02-2020,1.147
MH01,05-02-2020,1.563
MH01,06-02-2020,1.781
MH01,07-02-2020,1.909
MH01,11-02-2020,2.248
MH01,12-02-2020,1.838
MH01,13-02-2020,1.098
MH01,16-02-2020,0.08
MH01,19-02-2020,1.393
MH01,21-02-2020,1.73
MH01,22-02-2020,1.723
MH01,23-02-2020,1.622
MH01,28-02-2020,1.688
MH01,03-03-2020,2.612
MH01,07-03-2020,2.344
MH01,08-03-2020,1.508
MH01,09-03-2020,1.553
MH01,12-03-2020,1.874
MH01,16-03-2020,1.539
MH01,18-03-2020,1.39
MH01,19-03-2020,0.983
MH01,21-03-2020,1.79
MH01,28-03-2020,0.995
MH01,31-03-2020,1.355
MH01,01-04-2020,4.09
MH01,05-04-2020,3.546
MH01,08-04-2020,3.994
MH01,12-04-2020,5.899
MH01,13-04-2020,6.541
MH01,15-04-2020,2.825
MH01,16-04-2020,2.352
MH01,17-04-2020,4.084
MH01,20-04-2020,1.959
MH01,21-04-2020,2.566
MH01,22-04-2020,3.18
MH01,24-04-2020,4.525
MH01,25-04-2020,6.015
MH01,26-04-2020,5.188
MH01,28-04-2020,5.369
MH01,29-04-2020,7.34
MH01,01-05-2020,5.057
MH01,03-05-2020,3.857
MH01,04-05-2020,5.397
MH01,07-05-2020,6.794
MH01,08-05-2020,6.064
MH01,09-05-2020,7.748
MH01,10-05-2020,5.29
MH01,12-05-2020,4.456
MH01,13-05-2020,6.73
MH01,17-05-2020,7.573
MH01,23-05-2020,8.857
MH01,24-05-2020,10.703
MH01,26-05-2020,8.093
MH01,29-05-2020,4.068
MH01,30-05-2020,4.672
MH01,02-06-2020,6.333
MH01,05-06-2020,2.974
MH01,09-06-2020,5.982
MH01,10-06-2020,5.216
MH01,12-06-2020,9.033
MH01,13-06-2020,6.689
MH01,18-06-2020,3.422
MH01,23-06-2020,8.926
MH01,02-07-2020,9.067
MH01,06-07-2020,8.589
MH01,08-07-2020,6.498
MH01,18-07-2020,8.293
MH01,19-07-2020,7.286
MH01,23-07-2020,7.204
MH01,26-07-2020,6.438
MH01,31-07-2020,6.829
MH01,01-08-2020,7.354
MH01,02-08-2020,9.733
MH01,05-08-2020,9.328
MH01,09-08-2020,8.564
MH01,11-08-2020,10.027
MH01,13-08-2020,7.151
MH01,14-08-2020,6.665
MH01,17-08-2020,7.716
MH01,18-08-2020,7.377
MH01,19-08-2020,6.862
MH01,20-08-2020,6.133
MH01,22-08-2020,4.683
MH01,23-08-2020,6.411
MH01,26-08-2020,6.247
MH01,27-08-2020,7.732
MH01,28-08-2020,7.324
MH01,03-09-2020,5.963
MH01,05-09-2020,5.528
MH01,06-09-2020,5.179
MH01,12-09-2020,5.403
MH01,17-09-2020,8.573
MH01,21-09-2020,7.192
MH01,22-09-2020,6.332
MH01,23-09-2020,7.801
MH01,25-09-2020,7.708
MH01,26-09-2020,7.891
MH01,01-10-2020,7.105
MH01,04-10-2020,5.806
MH01,06-10-2020,4.979
MH01,07-10-2020,4.923
MH01,09-10-2020,4.805
MH01,13-10-2020,4.418
MH01,14-10-2020,4.979
MH01,15-10-2020,6.744
MH01,16-10-2020,5.943
MH01,17-10-2020,3.909
MH01,19-10-2020,2.747
MH01,21-10-2020,2.294
MH01,24-10-2020,4.139
MH01,27-10-2020,3.536
MH01,29-10-2020,1.574
MH01,30-10-2020,3.636
MH01,31-10-2020,3.956
MH01,01-11-2020,2.589
MH01,02-11-2020,3.033
MH01,03-11-2020,2.716
MH01,06-11-2020,2.214
MH01,07-11-2020,2.333
MH01,11-11-2020,3.288
MH01,14-11-2020,4.864
MH01,19-11-2020,4.307
MH01,21-11-2020,2.884
MH01,22-11-2020,3.024
MH01,26-11-2020,4.045
MH01,27-11-2020,4.324
MH01,28-11-2020,5.04
MH01,30-11-2020,3.894
MH01,02-12-2020,0.624
MH01,03-12-2020,3.592
MH01,05-12-2020,3.967
MH01,06-12-2020,3.84
MH01,07-12-2020,3.53
MH01,13-12-2020,3.299
MH01,14-12-2020,4.338
MH01,17-12-2020,3.965
MH01,18-12-2020,3.118
MH01,19-12-2020,4.314
MH01,26-12-2020,4.205
MH01,27-12-2020,3.482
MH01,28-12-2020,1.135
MH01,30-12-2020,3.322
MH01,02-01-2021,4.701
MH01,03-01-2021,4.573
MH01,06-01-2021,4.901
MH01,10-01-2021,3.985
MH01,12-01-2021,2.968
MH01,13-01-2021,2.499
MH01,14-01-2021,3.27
MH01,16-01-2021,3.384
MH01,17-01-2021,6.609
MH01,22-01-2021,4.758
MH01,23-01-2021,3.254
MH01,26-01-2021,4.117
MH01,27-01-2021,3.57
MH01,30-01-2021,3.572
MH01,07-02-2021,3.879
MH01,08-02-2021,2.93
MH01,10-02-2021,4.636
MH01,11-02-2021,5.285
MH01,12-02-2021,4.118
MH01,13-02-2021,4.394
MH01,14-02-2021,5.735
MH01,15-02-2021,5.074
MH01,16-02-2021,4.862
MH01,17-02-2021,4.541
MH02,01-05-2019,27.571
MH02,02-05-2019,24.434
MH02,03-05-2019,27.719
MH02,04-05-2019,35.247
MH02,05-05-2019,37.008
MH02,06-05-2019,29.826
MH02,07-05-2019,31.609
MH02,08-05-2019,28.469
MH02,09-05-2019,27.437
MH02,10-05-2019,24.398
MH02,11-05-2019,24.61
MH02,12-05-2019,25.069
MH02,13-05-2019,24.975
MH02,14-05-2019,26.08
MH02,15-05-2019,25.371
MH02,16-05-2019,21.564
MH02,17-05-2019,23.386
MH02,18-05-2019,23.052
MH02,19-05-2019,22.236
MH02,20-05-2019,28.363
MH02,21-05-2019,27.933
MH02,22-05-2019,24.684
MH02,23-05-2019,26.322
MH02,24-05-2019,25.78
MH02,25-05-2019,25.941
MH02,26-05-2019,30.887
MH02,27-05-2019,28.011
MH02,28-05-2019,26.384
MH02,29-05-2019,26.059
MH02,30-05-2019,32.345
MH02,31-05-2019,37.487
MH02,01-06-2019,37.749
MH02,02-06-2019,27.179
MH02,03-06-2019,26.288
MH02,04-06-2019,32.769
MH02,05-06-2019,38.923
MH02,06-06-2019,36.496
MH02,07-06-2019,37.588
MH02,08-06-2019,35.81
MH02,09-06-2019,39.219
MH02,10-06-2019,40.246
MH02,11-06-2019,41.129
MH02,12-06-2019,41.82
MH02,13-06-2019,40.359
MH02,14-06-2019,42.55
MH02,15-06-2019,43.812
MH02,16-06-2019,39.732
MH02,17-06-2019,33.291
MH02,18-06-2019,30.909
MH02,19-06-2019,27.032
MH02,20-06-2019,26.125
MH02,21-06-2019,31.92
MH02,22-06-2019,38.446
MH02,23-06-2019,37.676
MH02,24-06-2019,36.09
MH02,25-06-2019,39.112
MH02,26-06-2019,40.152
MH02,27-06-2019,40.318
MH02,28-06-2019,41.981
MH02,29-06-2019,41.689
MH02,30-06-2019,40.417
MH02,01-07-2019,31.639
MH02,02-07-2019,37.579
MH02,03-07-2019,39.314
MH02,04-07-2019,41.555
MH02,05-07-2019,0.109
MH02,06-07-2019,28.369
MH02,07-07-2019,29.629
MH02,08-07-2019,20.82
MH02,09-07-2019,28.364
MH02,10-07-2019,32.631
MH02,11-07-2019,31.47
MH02,12-07-2019,32.932
MH02,13-07-2019,46.025
MH02,14-07-2019,46.015
MH02,15-07-2019,40.721
MH02,16-07-2019,33.738
MH02,17-07-2019,27.928
MH02,18-07-2019,30.213
MH02,19-07-2019,35.099
MH02,20-07-2019,34.048
MH02,30-07-2019,23.862
MH02,31-07-2019,30.655
MH02,01-08-2019,31.625
MH02,02-08-2019,31.826
MH02,03-08-2019,27.542
MH02,04-08-2019,31.682
MH02,05-08-2019,29.62
MH02,06-08-2019,25.339
MH02,07-08-2019,24.052
MH02,08-08-2019,21.468
MH02,09-08-2019,25.475
MH02,10-08-2019,22.504
MH02,11-08-2019,39.172
MH02,12-08-2019,40.289
MH02,13-08-2019,35.178
MH02,14-08-2019,34.927
MH02,15-08-2019,37.013
MH02,16-08-2019,20.933
MH02,17-08-2019,17.522
MH02,18-08-2019,21.388
MH02,20-08-2019,27.585
MH02,21-08-2019,34.208
MH02,22-08-2019,24.279
MH02,23-08-2019,32.299
MH02,24-08-2019,22.673
MH02,25-08-2019,20.681
MH02,26-08-2019,30.822
MH02,27-08-2019,37.063
MH02,28-08-2019,31.241
MH02,29-08-2019,30.517
MH02,30-08-2019,28.978
MH02,31-08-2019,25.111
MH02,01-09-2019,28.533
MH02,02-09-2019,28.695
MH02,03-09-2019,29.912
MH02,04-09-2019,33.907
MH02,05-09-2019,32.858
MH02,06-09-2019,30.866
MH02,07-09-2019,27.756
MH02,08-09-2019,30.891
MH02,09-09-2019,34.872
MH02,10-09-2019,36.837
MH02,11-09-2019,41.085
MH02,12-09-2019,33.01
MH02,13-09-2019,29.332
MH02,14-09-2019,24.458
MH02,16-09-2019,31.405
MH02,17-09-2019,31.961
MH02,18-09-2019,23.874
MH02,19-09-2019,21.414
MH02,20-09-2019,24.649
MH02,21-09-2019,22.385
MH02,22-09-2019,19.422
MH02,23-09-2019,17.646
MH02,24-09-2019,20.332
MH02,25-09-2019,19.115
MH02,26-09-2019,14.423
MH02,27-09-2019,15.656
MH02,28-09-2019,11.8
MH02,29-09-2019,13.343
MH02,30-09-2019,9.793
MH02,01-10-2019,15.208
MH02,02-10-2019,19.277
MH02,05-10-2019,9.392
MH02,06-10-2019,13.206
MH02,07-10-2019,9.046
MH02,08-10-2019,13.695
MH02,09-10-2019,12.462
MH02,10-10-2019,12.384
MH02,11-10-2019,12.803
MH02,12-10-2019,8.89
MH02,13-10-2019,9.699
MH02,14-10-2019,16.501
MH02,15-10-2019,14.861
MH02,16-10-2019,11.34
MH02,17-10-2019,14.373
MH02,24-10-2019,7.973
MH02,25-10-2019,7.99
MH02,26-10-2019,8.494
MH02,27-10-2019,7.725
MH02,28-10-2019,7.64
MH02,29-10-2019,8.117
MH02,30-10-2019,8.012
MH02,31-10-2019,4.725
MH02,01-11-2019,6.136
MH02,02-11-2019,10.8
MH02,03-11-2019,8.896
MH02,04-11-2019,7.076
MH02,05-11-2019,9.823
MH02,06-11-2019,6.833
MH02,07-11-2019,4.938
MH02,08-11-2019,6.515
MH02,09-11-2019,5.67
MH02,10-11-2019,6.034
MH02,11-11-2019,5.201
MH02,12-11-2019,5.174
MH02,13-11-2019,5.447
MH02,14-11-2019,3.451
MH02,16-11-2019,8.528
MH02,17-11-2019,8.11
MH02,19-11-2019,10.673
MH02,20-11-2019,12.046
MH02,21-11-2019,15.115
MH02,22-11-2019,19.622
MH02,24-11-2019,21.543
MH02,25-11-2019,19.179
MH02,26-11-2019,14.493
MH02,27-11-2019,10.88
MH02,29-11-2019,5.544
MH02,30-11-2019,7.368
MH02,01-12-2019,5.965
MH02,03-12-2019,3.806
MH02,04-12-2019,3.679
MH02,05-12-2019,4.011
MH02,06-12-2019,4.337
MH02,07-12-2019,3.823
MH02,08-12-2019,3.987
MH02,09-12-2019,3.926
MH02,10-12-2019,3.635
MH02,11-12-2019,2.625
MH02,12-12-2019,3.133
MH02,14-12-2019,2.906
MH02,15-12-2019,3.015
MH02,16-12-2019,2.787
MH02,17-12-2019,2.867
MH02,18-12-2019,4.1
MH02,19-12-2019,1.813
MH02,24-12-2019,2.963
MH02,25-12-2019,2.685
MH02,26-12-2019,2.876
MH02,28-12-2019,2.512
MH02,29-12-2019,3.632
MH02,30-12-2019,2.261
MH02,31-12-2019,3.845
MH02,01-01-2020,3.092
MH02,02-01-2020,2.797
MH02,03-01-2020,3.389
MH02,04-01-2020,3.657
MH02,08-01-2020,2.552
MH02,10-01-2020,4.022
MH02,11-01-2020,3.852
MH02,12-01-2020,2.59
MH02,13-01-2020,2.317
MH02,15-01-2020,4.057
MH02,17-01-2020,1.668
MH02,18-01-2020,3.339
MH02,19-01-2020,2.375
MH02,20-01-2020,1.745
MH02,21-01-2020,0.999
MH02,23-01-2020,2.345
MH02,24-01-2020,2.893
MH02,25-01-2020,2.405
MH02,26-01-2020,2.179
MH02,01-02-2020,2.741
MH02,05-02-2020,4.195
MH02,06-02-2020,4.33
MH02,07-02-2020,3.586
MH02,08-02-2020,4.707
MH02,09-02-2020,3.693
MH02,10-02-2020,3.05
MH02,11-02-2020,3.917
MH02,12-02-2020,2.84
MH02,13-02-2020,3.876
MH02,14-02-2020,3.926
MH02,16-02-2020,3.949
MH02,17-02-2020,4.532
MH02,18-02-2020,7.991
MH02,19-02-2020,7.103
MH02,20-02-2020,3.835
MH02,21-02-2020,4.193
MH02,22-02-2020,3.844
MH02,23-02-2020,3.819
MH02,24-02-2020,3.077
MH02,28-02-2020,4.783
MH02,29-02-2020,4.189
MH02,02-03-2020,5.371
MH02,03-03-2020,6.151
MH02,04-03-2020,5.26
MH02,08-03-2020,4.731
MH02,09-03-2020,4.383
MH02,10-03-2020,5.562
MH02,11-03-2020,5.825
MH02,12-03-2020,5.755
MH02,12-04-2020,14.93
MH02,13-04-2020,19.371
MH02,14-04-2020,19.222
MH02,15-04-2020,19.234
MH02,16-04-2020,20.775
MH02,17-04-2020,18.712
MH02,18-04-2020,22.436
MH02,19-04-2020,20.774
MH02,20-04-2020,19.239
MH02,21-04-2020,14.136
MH02,22-04-2020,15.784
MH02,23-04-2020,16.59
MH02,24-04-2020,20.584
MH02,25-04-2020,19.374
MH02,26-04-2020,17.383
MH02,27-04-2020,15.606
MH02,28-04-2020,14.169
MH02,29-04-2020,17.374
MH02,30-04-2020,20.144
MH02,01-05-2020,18.505
MH02,02-05-2020,19.672
MH02,03-05-2020,22.248
MH02,04-05-2020,17.315
MH02,05-05-2020,22.344
MH02,06-05-2020,20.483
MH02,07-05-2020,20.081
MH02,08-05-2020,22.593
MH02,09-05-2020,20.178
MH02,10-05-2020,22.254
MH02,11-05-2020,22.142
MH02,12-05-2020,23.852
MH02,13-05-2020,19.806
MH02,16-05-2020,21.92
MH02,17-05-2020,27.295
MH02,18-05-2020,24.872
MH02,19-05-2020,27.114
MH02,20-05-2020,29.542
MH02,21-05-2020,29.903
MH02,22-05-2020,33.335
MH02,23-05-2020,39.242
MH02,24-05-2020,40.191
MH02,25-05-2020,35.158
MH02,04-06-2020,20.243
MH02,05-06-2020,20.63
MH02,06-06-2020,20.596
MH02,07-06-2020,23.089
MH02,08-06-2020,25.922
MH02,09-06-2020,34.964
MH02,10-06-2020,33.268
MH02,11-06-2020,38.906
MH02,12-06-2020,39.31
MH02,13-06-2020,34.682
MH02,14-06-2020,37.024
MH02,15-06-2020,43.963
MH02,16-06-2020,48.217
MH02,17-06-2020,42.49
MH02,18-06-2020,43.214
MH02,19-06-2020,44.953
MH02,20-06-2020,40.512
MH02,21-06-2020,39.347
MH02,22-06-2020,36.859
MH02,23-06-2020,33.263
MH02,24-06-2020,34.001
MH02,25-06-2020,39.695
MH02,26-06-2020,34.115
MH02,27-06-2020,36.936
MH02,28-06-2020,32.339
MH02,30-06-2020,39.959
MH02,01-07-2020,33.126
MH02,02-07-2020,39.265
MH02,03-07-2020,39.326
MH02,04-07-2020,44.207
MH02,05-07-2020,38.798
MH02,06-07-2020,36.644
MH02,07-07-2020,35.583
MH02,08-07-2020,31.531
MH02,09-07-2020,31.812
MH02,10-07-2020,33.847
MH02,11-07-2020,34.606
MH02,12-07-2020,32.129
MH02,13-07-2020,34.135
MH02,14-07-2020,34.183
MH02,15-07-2020,31.128
MH02,16-07-2020,27.262
MH02,17-07-2020,38.608
MH02,18-07-2020,39.492
MH02,19-07-2020,33.969
MH02,20-07-2020,35.968
MH02,21-07-2020,29.674
MH02,22-07-2020,27.404
MH02,23-07-2020,32.498
MH02,24-07-2020,29.421
MH02,25-07-2020,30.231
MH02,26-07-2020,34.054
MH02,27-07-2020,35.655
MH02,28-07-2020,37.037
MH02,29-07-2020,33.875
MH02,30-07-2020,35.835
MH02,31-07-2020,34.715
MH02,01-08-2020,35.667
MH02,02-08-2020,40.231
MH02,03-08-2020,39.648
MH02,04-08-2020,33.84
MH02,05-08-2020,30.273
MH02,06-08-2020,32.615
MH02,07-08-2020,29.689
MH02,08-08-2020,37.7
MH02,09-08-2020,33.743
MH02,10-08-2020,33.277
MH02,11-08-2020,34.518
MH02,12-08-2020,34.315
MH02,13-08-2020,35.838
MH02,14-08-2020,31.241
MH02,15-08-2020,34.728
MH02,16-08-2020,38.024
MH02,17-08-2020,40.15
MH02,18-08-2020,31.825
MH02,19-08-2020,33.45
MH02,20-08-2020,28.419
MH02,21-08-2020,29.165
MH02,22-08-2020,31.08
MH02,23-08-2020,28.477
MH02,24-08-2020,31.045
MH02,25-08-2020,30.647
MH02,26-08-2020,35.625
MH02,27-08-2020,33.168
MH02,28-08-2020,32.845
MH02,29-08-2020,27.862
MH02,30-08-2020,17.902
MH02,31-08-2020,23.46
MH02,01-09-2020,31.811
MH02,02-09-2020,29.48
MH02,03-09-2020,33.658
MH02,04-09-2020,30.927
MH02,05-09-2020,29.622
MH02,06-09-2020,26.925
MH02,07-09-2020,34.382
MH02,08-09-2020,32.646
MH02,09-09-2020,31.575
MH02,10-09-2020,35.28
MH02,11-09-2020,29.705
MH02,12-09-2020,38.118
MH02,13-09-2020,36.144
MH02,17-09-2020,36.913
MH02,18-09-2020,40.865
MH02,20-09-2020,27.722
MH02,21-09-2020,29.452
MH02,22-09-2020,30.343
MH02,23-09-2020,30.358
MH02,24-09-2020,28.413
MH02,25-09-2020,29.076
MH02,26-09-2020,28.552
MH02,27-09-2020,27.908
MH02,28-09-2020,28.802
MH02,29-09-2020,29.116
MH02,01-10-2020,33.501
MH02,02-10-2020,24.961
MH02,03-10-2020,24.689
MH02,04-10-2020,24.277
MH02,05-10-2020,21.077
MH02,06-10-2020,20.523
MH02,07-10-2020,18.09
MH02,08-10-2020,17.958
MH02,09-10-2020,21.166
MH02,10-10-2020,21.653
MH02,11-10-2020,18.04
MH02,12-10-2020,17.495
MH02,13-10-2020,19.432
MH02,14-10-2020,19.44
MH02,15-10-2020,12.919
MH02,16-10-2020,20.265
MH02,17-10-2020,20.658
MH02,18-10-2020,20.452
MH02,19-10-2020,18.305
MH02,20-10-2020,13.903
MH02,21-10-2020,20.367
MH02,22-10-2020,20.028
MH02,23-10-2020,14.93
MH02,24-10-2020,15.921
MH02,25-10-2020,15.068
MH02,26-10-2020,12.921
MH02,27-10-2020,13.227
MH02,28-10-2020,13.199
MH02,29-10-2020,10.204
MH02,30-10-2020,7.647
MH02,31-10-2020,7.495
MH02,01-11-2020,7.261
MH02,02-11-2020,7.905
MH03,12-05-2019,5.622
MH03,13-05-2019,5.507
MH03,14-05-2019,5.506
MH03,15-05-2019,5.496
MH03,16-05-2019,5.745
MH03,17-05-2019,4.837
MH03,18-05-2019,5.466
MH03,19-05-2019,6.769
MH03,20-05-2019,8.727
MH03,21-05-2019,6.634
MH03,22-05-2019,7.801
MH03,23-05-2019,5.451
MH03,24-05-2019,6.847
MH03,25-05-2019,6.428
MH03,26-05-2019,6.346
MH03,27-05-2019,7.438
MH03,28-05-2019,5.895
MH03,29-05-2019,8.68
MH03,30-05-2019,9.103
MH03,31-05-2019,8.276
MH03,01-06-2019,8.103
MH03,02-06-2019,7.614
MH03,03-06-2019,7.93
MH03,04-06-2019,8.344
MH03,05-06-2019,7.929
MH03,06-06-2019,8.382
MH03,07-06-2019,8.194
MH03,08-06-2019,8.138
MH03,09-06-2019,7.643
MH03,10-06-2019,7.992
MH03,11-06-2019,7.605
MH03,12-06-2019,5.04
MH03,13-06-2019,5.023
MH03,14-06-2019,5.428
MH03,15-06-2019,8.204
MH03,16-06-2019,6.17
MH03,17-06-2019,8.185
MH03,18-06-2019,8.332
MH03,19-06-2019,5.302
MH03,20-06-2019,5.435
MH03,21-06-2019,7.274
MH03,22-06-2019,8.414
MH03,23-06-2019,6.355
MH03,24-06-2019,7.637
MH03,25-06-2019,6.354
MH03,26-06-2019,6.566
MH03,27-06-2019,7.406
MH03,28-06-2019,8.845
MH03,29-06-2019,9.288
MH03,30-06-2019,9.609
MH03,01-07-2019,8.299
MH03,02-07-2019,9.703
MH03,03-07-2019,8.962
MH03,04-07-2019,9.283
MH03,05-07-2019,0.03
MH03,06-07-2019,6.432
MH03,07-07-2019,4.623
MH03,08-07-2019,7.529
MH03,09-07-2019,6.386
MH03,12-07-2019,9.749
MH03,13-07-2019,8.136
MH03,14-07-2019,6.03
MH03,15-07-2019,4.819
MH03,16-07-2019,4.89
MH03,17-07-2019,5.287
MH03,18-07-2019,5.239
MH03,19-07-2019,4.755
MH03,20-07-2019,7.327
MH03,21-07-2019,5.376
MH03,22-07-2019,5.73
MH03,23-07-2019,5.747
MH03,24-07-2019,7.314
MH03,25-07-2019,5.063
MH03,26-07-2019,5.529
MH03,27-07-2019,7.019
MH03,28-07-2019,7.677
MH03,29-07-2019,7.297
MH03,30-07-2019,7.196
MH03,31-07-2019,7.49
MH03,01-08-2019,8.307
